id,data,conselho,tipo_documento,categoria,gravidade,raca_cor,faixa_etaria,texto,tokens,texto_limpo
CT-1010,2024-07-12,Conselho Tutelar Centro,Termo de Ocorrência,evasão escolar,média,branca,12-14,Aluno de 11 anos não comparece à escola há 30 dias. Escola tentou contato com família sem sucesso. Equipe do conselho realizou visita domiciliar.,"['aluno', 'ano', 'nao', 'comparecer', 'escola', 'dia', 'escola', 'tentar', 'contato', 'familia', 'sucesso', 'equipe', 'de o', 'conselho', 'realizar', 'visita', 'domiciliar']",aluno ano nao comparecer escola dia escola tentar contato familia sucesso equipe de o conselho realizar visita domiciliar
CT-1011,2024-10-22,Conselho Tutelar Centro,Termo de Ocorrência,evasão escolar,média,parda,0-5,Adolescente de 13 anos abandonou escola após bullying relatado. Família ciente mas sem iniciativa para resolução. Encaminhado para mediação escolar.,"['adolescente', 'ano', 'abandonar', 'escola', 'apos', 'bullying', 'relatar', 'familia', 'ciente', 'iniciativa', 'resolucao', 'encaminhar', 'Mediacao', 'escolar']",adolescente ano abandonar escola apos bullying relatar familia ciente iniciativa resolucao encaminhar Mediacao escolar
CT-1012,2024-12-04,Conselho Tutelar Centro,Ata de Reunião,evasão escolar,média,parda,6-11,Criança de 10 anos matriculada mas com frequência abaixo de 50% no semestre. Responsável alega que criança se recusa a ir. Suspeita de conflito com colegas.,"['crianca', 'ano', 'matricular', 'frequencia', 'abaixo', 'em o', 'semestre', 'responsavel', 'alegar', 'criancar', 'recusar', 'suspeita', 'conflito', 'colega']",crianca ano matricular frequencia abaixo em o semestre responsavel alegar criancar recusar suspeita conflito colega
CT-1013,2024-02-21,Conselho Tutelar Norte,Ata de Reunião,trabalho infantil,média,indígena,12-14,Menor de 12 anos foi retirado da escola pelo pai para trabalhar na roça durante período de colheita. Família de baixa renda em zona rural.,"['pequeno', 'ano', 'retirar', 'de o', 'escola', 'por o', 'pai', 'trabalhar', 'em o', 'roca', 'durante', 'periodo', 'colheita', 'familio', 'baixo', 'renda', 'zona', 'rural']",pequeno ano retirar de o escola por o pai trabalhar em o roca durante periodo colheita familio baixo renda zona rural
CT-1014,2024-03-24,Conselho Tutelar Norte,Ata de Reunião,evasão escolar,alta,preta,12-14,Adolescente grávida de 14 anos afastou-se da escola por vergonha. Escola não ofereceu suporte adequado. Encaminhada à assistência social.,"['adolescente', 'gravir', 'ano', 'afastar', 'de o', 'escola', 'vergonha', 'escola', 'nao', 'oferecer', 'suporte', 'adequado', 'encaminhar', 'assistencia', 'social']",adolescente gravir ano afastar de o escola vergonha escola nao oferecer suporte adequado encaminhar assistencia social
CT-1015,2024-12-25,Conselho Tutelar Sul,Termo de Ocorrência,vulnerabilidade social,média,parda,6-11,Família negra em situação de extrema pobreza relatou dificuldade de acesso a serviços públicos. Crianças sem documentação básica. Encaminhamento ao CRAS e cartório.,"['familia', 'negro', 'situacao', 'extremo', 'pobreza', 'relatar', 'dificuldade', 'acesso', 'servico', 'publico', 'crianca', 'documentacao', 'Basica', 'encaminhamento', 'a o', 'cras', 'cartorio']",familia negro situacao extremo pobreza relatar dificuldade acesso servico publico crianca documentacao Basica encaminhamento a o cras cartorio
CT-1016,2024-09-30,Conselho Tutelar Sul,Relatório de Atendimento,racismo,média,preta,15-17,Adolescente negro de 17 anos abordado repetidamente pela polícia sem motivo aparente. Família relata histórico de discriminação racial na escola e no bairro.,"['adolescente', 'negro', 'ano', 'abordar', 'repetidamente', 'por o', 'policia', 'motivo', 'aparente', 'familia', 'relatar', 'historico', 'discriminacao', 'racial', 'em o', 'escola', 'em o', 'bairro']",adolescente negro ano abordar repetidamente por o policia motivo aparente familia relatar historico discriminacao racial em o escola em o bairro
CT-1017,2024-07-13,Conselho Tutelar Norte,Termo de Ocorrência,vulnerabilidade social,baixa,amarela,6-11,Criança quilombola sem acesso à escola. Comunidade distante do centro urbano. Ausência de transporte escolar. Caso encaminhado à secretaria de educação.,"['crianca', 'quilombola', 'acesso', 'escola', 'comunidade', 'distante', 'de o', 'centro', 'urbano', 'ausencia', 'transporte', 'escolar', 'caso', 'encaminhar', 'secretaria', 'educacao']",crianca quilombola acesso escola comunidade distante de o centro urbano ausencia transporte escolar caso encaminhar secretaria educacao
CT-1018,2024-12-16,Conselho Tutelar Norte,Relatório de Atendimento,vulnerabilidade social,baixa,preta,0-5,Família migrante com três filhos menores. Crianças sem matrícula escolar por dificuldade de comprovar residência. Apoio para regularização documental solicitado.,"['Familia', 'migrante', 'tres', 'filho', 'menor', 'crianca', 'matricular', 'escolar', 'dificuldade', 'comprovar', 'residencia', 'apoio', 'regularizacao', 'documental', 'solicitar']",Familia migrante tres filho menor crianca matricular escolar dificuldade comprovar residencia apoio regularizacao documental solicitar
CT-1019,2024-06-10,Conselho Tutelar Norte,Ata de Reunião,racismo,média,parda,6-11,Mãe solo negra relatou que filho foi recusado em creche sem justificativa formal. Suspeita de discriminação. Caso encaminhado para apuração.,"['Mae', 'solo', 'negro', 'relatar', 'filho', 'recusar', 'creche', 'justificativa', 'formal', 'suspeita', 'discriminacao', 'caso', 'encaminhar', 'apuracao']",Mae solo negro relatar filho recusar creche justificativa formal suspeita discriminacao caso encaminhar apuracao
CT-1020,2024-10-17,Conselho Tutelar Sul,Ata de Reunião,abuso sexual,alta,preta,15-17,"Criança de 9 anos apresenta comportamento regressivo, choro excessivo e recusa a frequentar casa do avô paterno. Suspeita de abuso sexual. Caso encaminhado ao CREAS.","['crianca', 'ano', 'apresentar', 'comportamento', 'regressivo', 'chorar', 'excessivo', 'recusar', 'frequentar', 'casa', 'de o', 'avo', 'paterno', 'suspeita', 'abuso', 'sexual', 'caso', 'encaminhar', 'a o', 'crea']",crianca ano apresentar comportamento regressivo chorar excessivo recusar frequentar casa de o avo paterno suspeita abuso sexual caso encaminhar a o crea
CT-1021,2024-07-21,Conselho Tutelar Sul,Ata de Reunião,saúde mental,alta,preta,12-14,Adolescente de 16 anos com histórico de automutilação. Escola acionou conselho após identificar marcas no braço. Encaminhado ao serviço de saúde mental.,"['adolescente', 'ano', 'historico', 'automutilacao', 'escola', 'acionar', 'conselho', 'apos', 'identificar', 'marca', 'em o', 'braco', 'encaminhar', 'a o', 'servico', 'saude', 'mental']",adolescente ano historico automutilacao escola acionar conselho apos identificar marca em o braco encaminhar a o servico saude mental
CT-1022,2024-03-12,Conselho Tutelar Centro,Termo de Ocorrência,abuso sexual,alta,amarela,12-14,Criança relatou toque inadequado por parte de vizinho adulto. Responsável presente e apoiando a criança. Boletim de ocorrência registrado. Medida protetiva solicitada.,"['crianca', 'relatar', 'toque', 'inadequar', 'parte', 'vizinho', 'adulto', 'responsavel', 'presente', 'apoiar', 'crianca', 'boletim', 'ocorrencia', 'registrar', 'medida', 'protetivo', 'solicitar']",crianca relatar toque inadequar parte vizinho adulto responsavel presente apoiar crianca boletim ocorrencia registrar medida protetivo solicitar
CT-1023,2024-10-26,Conselho Tutelar Norte,Termo de Ocorrência,saúde mental,alta,indígena,12-14,Adolescente de 15 anos apresenta sintomas de depressão e ansiedade. Sem acompanhamento psicológico. Família com dificuldade de acesso ao CAPS.,"['adolescente', 'ano', 'apresentar', 'sintoma', 'depressao', 'ansiedade', 'acompanhamento', 'psicologico', 'familia', 'dificuldade', 'acesso', 'a o', 'caps']",adolescente ano apresentar sintoma depressao ansiedade acompanhamento psicologico familia dificuldade acesso a o caps
CT-1024,2024-04-22,Conselho Tutelar Centro,Termo de Ocorrência,abuso sexual,alta,indígena,0-5,Menor relata abuso sexual pelo genitor. Mãe presente e acredita na criança. Criança afastada do lar e abrigada. Inquérito policial instaurado.,"['pequeno', 'relatar', 'abuso', 'sexual', 'por o', 'genitor', 'mae', 'presente', 'acreditar', 'em o', 'crianca', 'crianco', 'afastar', 'de o', 'lar', 'abrigar', 'inquerito', 'policial', 'instaurar']",pequeno relatar abuso sexual por o genitor mae presente acreditar em o crianca crianco afastar de o lar abrigar inquerito policial instaurar
CT-1025,2024-01-25,Conselho Tutelar Centro,Relatório de Atendimento,medida protetiva,alta,preta,15-17,"Após investigação, aplicada medida protetiva de afastamento do agressor do lar. Criança permanece com a mãe. Acompanhamento quinzenal estabelecido.","['apo', 'investigacao', 'aplicar', 'medida', 'protetivo', 'afastamento', 'de o', 'agressor', 'de o', 'lar', 'crianco', 'permanecer', 'mae', 'acompanhamento', 'quinzenal', 'estabelecer']",apo investigacao aplicar medida protetivo afastamento de o agressor de o lar crianco permanecer mae acompanhamento quinzenal estabelecer
CT-1026,2024-11-01,Conselho Tutelar Centro,Ata de Reunião,encaminhamento social,média,indígena,15-17,Família encaminhada ao Programa Bolsa Família e ao CRAS para suporte psicossocial. Crianças reintegradas à escola. Monitoramento mensal previsto.,"['familia', 'encaminhar', 'a o', 'programa', 'Bolsa', 'familia', 'a o', 'cras', 'suporte', 'psicossocial', 'crianca', 'reintegrar', 'escola', 'monitoramento', 'mensal', 'prever']",familia encaminhar a o programa Bolsa familia a o cras suporte psicossocial crianca reintegrar escola monitoramento mensal prever
CT-1027,2024-09-27,Conselho Tutelar Norte,Termo de Ocorrência,medida socioeducativa,alta,parda,0-5,Adolescente encaminhado ao programa de medida socioeducativa em meio aberto após ato infracional. Acompanhamento pelo CREAS iniciado.,"['adolescente', 'encaminhar', 'a o', 'programa', 'medida', 'socioeducativo', 'meio', 'abrir', 'apo', 'ato', 'infracional', 'acompanhamento', 'por o', 'crea', 'iniciar']",adolescente encaminhar a o programa medida socioeducativo meio abrir apo ato infracional acompanhamento por o crea iniciar
CT-1028,2024-12-15,Conselho Tutelar Sul,Ata de Reunião,acolhimento institucional,alta,branca,0-5,Criança retirada do ambiente familiar após confirmação de maus-tratos graves. Acolhimento institucional realizado. Processo judicial em andamento.,"['crianca', 'retirada', 'de o', 'ambiente', 'familiar', 'apos', 'confirmacao', 'mau', 'trato', 'grave', 'acolhimento', 'institucional', 'realizar', 'processo', 'judicial', 'andamento']",crianca retirada de o ambiente familiar apos confirmacao mau trato grave acolhimento institucional realizar processo judicial andamento
CT-1029,2024-05-30,Conselho Tutelar Norte,Relatório de Atendimento,mediação,média,indígena,0-5,"Reunião com escola, família e equipe do CRAS para elaboração de plano de atendimento individualizado. Frequência escolar retomada após mediação.","['reuniao', 'escola', 'familia', 'equipe', 'de o', 'Cras', 'elaboracao', 'plano', 'atendimento', 'individualizar', 'frequencia', 'escolar', 'retomar', 'apo', 'Mediacao']",reuniao escola familia equipe de o Cras elaboracao plano atendimento individualizar frequencia escolar retomar apo Mediacao
